"ndc","type"
"15020","mobileNDC"
"15050","mobileNDC"
"15080","mobileNDC"
"1511","mobileNDC"
"1512","mobileNDC"
"1514","mobileNDC"
"1515","mobileNDC"
"1516","mobileNDC"
"1517","mobileNDC"
"1520","mobileNDC"
"1521","mobileNDC"
"1522","mobileNDC"
"1523","mobileNDC"
"1525","mobileNDC"
"1526","mobileNDC"
"1529","mobileNDC"
"15555","mobileNDC"
"15566","mobileNDC"
"15630","mobileNDC"
"15678","mobileNDC"
"1570","mobileNDC"
"1573","mobileNDC"
"1575","mobileNDC"
"1577","mobileNDC"
"1578","mobileNDC"
"1579","mobileNDC"
"15888","mobileNDC"
"1590","mobileNDC"
"160","mobileNDC"
"162","mobileNDC"
"163","mobileNDC"
"170","mobileNDC"
"171","mobileNDC"
"172","mobileNDC"
"173","mobileNDC"
"174","mobileNDC"
"175","mobileNDC"
"176","mobileNDC"
"177","mobileNDC"
"178","mobileNDC"
"179","mobileNDC"
"110","sondernummer"
"112","sondernummer"
"181","sondernummer"
"182","sondernummer"
"183","sondernummer"
"184","sondernummer"
"185","sondernummer"
"186","sondernummer"
"187","sondernummer"
"191","sondernummer"
"192","sondernummer"
"193","sondernummer"
"800","sondernummer"
"700","sondernummer"
"900","sondernummer"
"137","sondernummer"
"116","sondernummer"
"201","onkz"
"202","onkz"
"203","onkz"
"2041","onkz"
"2043","onkz"
"2045","onkz"
"2051","onkz"
"2052","onkz"
"2053","onkz"
"2054","onkz"
"2056","onkz"
"2058","onkz"
"2064","onkz"
"2065","onkz"
"2066","onkz"
"208","onkz"
"209","onkz"
"2102","onkz"
"2103","onkz"
"2104","onkz"
"211","onkz"
"212","onkz"
"2129","onkz"
"2131","onkz"
"2132","onkz"
"2133","onkz"
"2137","onkz"
"214","onkz"
"2150","onkz"
"2151","onkz"
"2152","onkz"
"2153","onkz"
"2154","onkz"
"2156","onkz"
"2157","onkz"
"2158","onkz"
"2159","onkz"
"2161","onkz"
"2162","onkz"
"2163","onkz"
"2164","onkz"
"2165","onkz"
"2166","onkz"
"2171","onkz"
"2173","onkz"
"2174","onkz"
"2175","onkz"
"2181","onkz"
"2182","onkz"
"2183","onkz"
"2191","onkz"
