"ndc","type","detail","Created_date"
"15020","mobileNDC","-","2018-03-08T12:14:34.847Z"
"15050","mobileNDC","-","2018-03-08T12:14:34.847Z"
"15080","mobileNDC","-","2018-03-08T12:14:34.847Z"
"1511","mobileNDC","-","2018-03-08T12:14:34.847Z"
"1512","mobileNDC","-","2018-03-08T12:14:34.847Z"
"1514","mobileNDC","-","2018-03-08T12:14:34.847Z"
"1515","mobileNDC","-","2018-03-08T12:14:34.847Z"
"1516","mobileNDC","-","2018-03-08T12:14:34.847Z"
"1517","mobileNDC","-","2018-03-08T12:14:34.847Z"
"1520","mobileNDC","-","2018-03-08T12:14:34.847Z"
"1521","mobileNDC","-","2018-03-08T12:14:34.847Z"
"1522","mobileNDC","-","2018-03-08T12:14:34.847Z"
"1523","mobileNDC","-","2018-03-08T12:14:34.847Z"
"1525","mobileNDC","-","2018-03-08T12:14:34.847Z"
"1526","mobileNDC","-","2018-03-08T12:14:34.847Z"
"1529","mobileNDC","-","2018-03-08T12:14:34.847Z"
"15555","mobileNDC","-","2018-03-08T12:14:34.847Z"
"15566","mobileNDC","-","2018-03-08T12:14:34.847Z"
"15630","mobileNDC","-","2018-03-08T12:14:34.847Z"
"15678","mobileNDC","-","2018-03-08T12:14:34.847Z"
"1570","mobileNDC","-","2018-03-08T12:14:34.847Z"
"1573","mobileNDC","-","2018-03-08T12:14:34.847Z"
"1575","mobileNDC","-","2018-03-08T12:14:34.847Z"
"1577","mobileNDC","-","2018-03-08T12:14:34.847Z"
"1578","mobileNDC","-","2018-03-08T12:14:34.847Z"
"1579","mobileNDC","-","2018-03-08T12:14:34.847Z"
"15888","mobileNDC","-","2018-03-08T12:14:34.847Z"
"1590","mobileNDC","-","2018-03-08T12:14:34.847Z"
"160","mobileNDC","-","2018-03-08T12:14:34.847Z"
"162","mobileNDC","-","2018-03-08T12:14:34.847Z"
"163","mobileNDC","-","2018-03-08T12:14:34.847Z"
"170","mobileNDC","-","2018-03-08T12:14:34.847Z"
"171","mobileNDC","-","2018-03-08T12:14:34.847Z"
"172","mobileNDC","-","2018-03-08T12:14:34.847Z"
"173","mobileNDC","-","2018-03-08T12:14:34.847Z"
"174","mobileNDC","-","2018-03-08T12:14:34.847Z"
"175","mobileNDC","-","2018-03-08T12:14:34.847Z"
"176","mobileNDC","-","2018-03-08T12:14:34.847Z"
"177","mobileNDC","-","2018-03-08T12:14:34.847Z"
"178","mobileNDC","-","2018-03-08T12:14:34.847Z"
"179","mobileNDC","-","2018-03-08T12:14:34.847Z"
"110","sondernummer","-","2018-03-08T12:14:34.847Z"
"112","sondernummer","-","2018-03-08T12:14:34.847Z"
"181","sondernummer","-","2018-03-08T12:14:34.847Z"
"182","sondernummer","-","2018-03-08T12:14:34.847Z"
"183","sondernummer","-","2018-03-08T12:14:34.847Z"
"184","sondernummer","-","2018-03-08T12:14:34.847Z"
"185","sondernummer","-","2018-03-08T12:14:34.847Z"
"186","sondernummer","-","2018-03-08T12:14:34.847Z"
"187","sondernummer","-","2018-03-08T12:14:34.847Z"
"191","sondernummer","-","2018-03-08T12:14:34.847Z"
"192","sondernummer","-","2018-03-08T12:14:34.847Z"
"193","sondernummer","-","2018-03-08T12:14:34.847Z"
"800","sondernummer","-","2018-03-08T12:14:34.847Z"
"700","sondernummer","-","2018-03-08T12:14:34.847Z"
"900","sondernummer","-","2018-03-08T12:14:34.847Z"
"137","sondernummer","-","2018-03-08T12:14:34.847Z"
"116","sondernummer","-","2018-03-08T12:14:34.847Z"
"201","onkz","Essen","2018-03-08T12:14:34.847Z"
"202","onkz","Wuppertal","2018-03-08T12:14:34.847Z"
"203","onkz","Duisburg","2018-03-08T12:14:34.847Z"
"2041","onkz","Bottrop","2018-03-08T12:14:34.847Z"
"2043","onkz","Gladbeck","2018-03-08T12:14:34.847Z"
"2045","onkz","Bottrop-Kirchhellen","2018-03-08T12:14:34.847Z"
"2051","onkz","Velbert","2018-03-08T12:14:34.847Z"
"2052","onkz","Velbert-Langenberg","2018-03-08T12:14:34.847Z"
"2053","onkz","Velbert-Neviges","2018-03-08T12:14:34.847Z"
"2054","onkz","Essen-Kettwig","2018-03-08T12:14:34.847Z"
"2056","onkz","Heiligenhaus","2018-03-08T12:14:34.847Z"
"2058","onkz","Wülfrath","2018-03-08T12:14:34.847Z"
"2064","onkz","Dinslaken","2018-03-08T12:14:34.847Z"
"2065","onkz","Duisburg-Rheinhausen","2018-03-08T12:14:34.847Z"
"2066","onkz","Duisburg-Homberg","2018-03-08T12:14:34.847Z"
"208","onkz","Oberhausen Rheinl","2018-03-08T12:14:34.847Z"
"209","onkz","Gelsenkirchen","2018-03-08T12:14:34.847Z"
"2102","onkz","Ratingen","2018-03-08T12:14:34.847Z"
"2103","onkz","Hilden","2018-03-08T12:14:34.847Z"
"2104","onkz","Mettmann","2018-03-08T12:14:34.847Z"
"211","onkz","Düsseldorf","2018-03-08T12:14:34.847Z"
"212","onkz","Solingen","2018-03-08T12:14:34.847Z"
"2129","onkz","Haan Rheinl","2018-03-08T12:14:34.847Z"
"2131","onkz","Neuss","2018-03-08T12:14:34.847Z"
"2132","onkz","Meerbusch-Büderich","2018-03-08T12:14:34.847Z"
"2133","onkz","Dormagen","2018-03-08T12:14:34.847Z"
"2137","onkz","Neuss-Norf","2018-03-08T12:14:34.847Z"
"214","onkz","Leverkusen","2018-03-08T12:14:34.847Z"
"2150","onkz","Meerbusch-Lank","2018-03-08T12:14:34.847Z"
"2151","onkz","Krefeld","2018-03-08T12:14:34.847Z"
"2152","onkz","Kempen","2018-03-08T12:14:34.847Z"
"2153","onkz","Nettetal-Lobberich","2018-03-08T12:14:34.847Z"
"2154","onkz","Willich","2018-03-08T12:14:34.847Z"
"2156","onkz","Willich-Anrath","2018-03-08T12:14:34.847Z"
"2157","onkz","Nettetal-Kaldenkirchen","2018-03-08T12:14:34.847Z"
"2158","onkz","Grefrath b Krefeld","2018-03-08T12:14:34.847Z"
"2159","onkz","Meerbusch-Osterath","2018-03-08T12:14:34.847Z"
"2161","onkz","Mönchengladbach","2018-03-08T12:14:34.847Z"
"2162","onkz","Viersen","2018-03-08T12:14:34.847Z"
"2163","onkz","Schwalmtal Niederrhein","2018-03-08T12:14:34.847Z"
"2164","onkz","Jüchen-Otzenrath","2018-03-08T12:14:34.847Z"
"2165","onkz","Jüchen","2018-03-08T12:14:34.847Z"
"2166","onkz","Mönchengladbach-Rheydt","2018-03-08T12:14:34.847Z"
"2171","onkz","Leverkusen-Opladen","2018-03-08T12:14:34.847Z"
"2173","onkz","Langenfeld Rheinland","2018-03-08T12:14:34.847Z"
"2174","onkz","Burscheid Rheinl","2018-03-08T12:14:34.847Z"
"2175","onkz","Leichlingen Rheinland","2018-03-08T12:14:34.847Z"
"2181","onkz","Grevenbroich","2018-03-08T12:14:34.847Z"
"2182","onkz","Grevenbroich-Kapellen","2018-03-08T12:14:34.847Z"
"2183","onkz","Rommerskirchen","2018-03-08T12:14:34.847Z"
"2191","onkz","Remscheid","2018-03-08T12:14:34.847Z"
"2192","onkz","Hückeswagen","2018-03-08T12:14:34.847Z"
"2193","onkz","Dabringhausen","2018-03-08T12:14:34.847Z"
"2195","onkz","Radevormwald","2018-03-08T12:14:34.847Z"
"2196","onkz","Wermelskirchen","2018-03-08T12:14:34.847Z"
"2202","onkz","Bergisch Gladbach","2018-03-08T12:14:34.847Z"
"2203","onkz","Köln-Porz","2018-03-08T12:14:34.847Z"
"2204","onkz","Bensberg","2018-03-08T12:14:34.847Z"
"2205","onkz","Rösrath","2018-03-08T12:14:34.847Z"
"2206","onkz","Overath","2018-03-08T12:14:34.847Z"
"2207","onkz","Kürten-Dürscheid","2018-03-08T12:14:34.847Z"
"2208","onkz","Niederkassel","2018-03-08T12:14:34.847Z"
"221","onkz","Köln","2018-03-08T12:14:34.847Z"
"2222","onkz","Bornheim Rheinl","2018-03-08T12:14:34.847Z"
"2223","onkz","Königswinter","2018-03-08T12:14:34.847Z"
"2224","onkz","Bad Honnef","2018-03-08T12:14:34.847Z"
"2225","onkz","Meckenheim Rheinl","2018-03-08T12:14:34.847Z"
"2226","onkz","Rheinbach","2018-03-08T12:14:34.847Z"
"2227","onkz","Bornheim-Merten","2018-03-08T12:14:34.847Z"
"2228","onkz","Remagen-Rolandseck","2018-03-08T12:14:34.847Z"
"2232","onkz","Brühl Rheinl","2018-03-08T12:14:34.847Z"
"2233","onkz","Hürth Rheinl","2018-03-08T12:14:34.847Z"
"2234","onkz","Frechen","2018-03-08T12:14:34.847Z"
"2235","onkz","Erftstadt","2018-03-08T12:14:34.847Z"
"2236","onkz","Wesseling Rheinl","2018-03-08T12:14:34.847Z"
"2237","onkz","Kerpen Rheinl-Türnich","2018-03-08T12:14:34.847Z"
"2238","onkz","Pulheim","2018-03-08T12:14:34.847Z"
"2241","onkz","Siegburg","2018-03-08T12:14:34.847Z"
"2242","onkz","Hennef Sieg","2018-03-08T12:14:34.847Z"
"2243","onkz","Eitorf","2018-03-08T12:14:34.847Z"
"2244","onkz","Königswinter-Oberpleis","2018-03-08T12:14:34.847Z"
"2245","onkz","Much","2018-03-08T12:14:34.847Z"
"2246","onkz","Lohmar Rheinland","2018-03-08T12:14:34.847Z"
"2247","onkz","Neunkirchen-Seelscheid","2018-03-08T12:14:34.847Z"
"2248","onkz","Hennef-Uckerath","2018-03-08T12:14:34.847Z"
"2251","onkz","Euskirchen","2018-03-08T12:14:34.847Z"
"2252","onkz","Zülpich","2018-03-08T12:14:34.847Z"
"2253","onkz","Bad Münstereifel","2018-03-08T12:14:34.847Z"
"2254","onkz","Weilerswist","2018-03-08T12:14:34.847Z"
"2255","onkz","Euskirchen-Flamersheim","2018-03-08T12:14:34.847Z"
"2256","onkz","Mechernich-Satzvey","2018-03-08T12:14:34.847Z"
"2257","onkz","Reckerscheid","2018-03-08T12:14:34.847Z"
"2261","onkz","Gummersbach","2018-03-08T12:14:34.847Z"
"2262","onkz","Wiehl","2018-03-08T12:14:34.847Z"
"2263","onkz","Engelskirchen","2018-03-08T12:14:34.847Z"
"2264","onkz","Marienheide","2018-03-08T12:14:34.847Z"
"2265","onkz","Reichshof-Eckenhagen","2018-03-08T12:14:34.847Z"
"2266","onkz","Lindlar","2018-03-08T12:14:34.847Z"
"2267","onkz","Wipperfürth","2018-03-08T12:14:34.847Z"
"2268","onkz","Kürten","2018-03-08T12:14:34.847Z"
"2269","onkz","Kierspe-Rönsahl","2018-03-08T12:14:34.847Z"
